0.409,0.534,0.565,0.16,0.232,0.261,1
0.159,0.152,0.16,0.142,0.127,0.119,1
0.342,0.352,0.403,0.143,0.122,0.131,1
0.438,0.406,0.383,0.272,0.264,0.262,1
0.708,0.665,0.641,0.133,0.184,0.228,1
0.645,0.654,0.651,0.131,0.184,0.243,1
0.362,0.246,0.184,0.206,0.139,0.114,1
0.793,0.541,0.651,0.193,0.165,0.236,1
0.73,0.708,0.693,0.091,0.108,0.108,1
0.663,0.573,0.491,0.165,0.191,0.193,1
0.65,0.651,0.674,0.099,0.105,0.115,1
0.269,0.237,0.217,0.218,0.174,0.153,1
0.222,0.186,0.175,0.196,0.166,0.153,1
0.748,0.71,0.687,0.076,0.128,0.172,1
0.199,0.161,0.147,0.186,0.17,0.167,1
0.391,0.283,0.242,0.27,0.194,0.145,1
0.736,0.751,0.764,0.098,0.127,0.147,1
0.312,0.278,0.251,0.155,0.145,0.134,1
0.136,0.175,0.21,0.164,0.152,0.156,1
0.463,0.576,0.626,0.189,0.276,0.336,1
0.594,0.601,0.617,0.077,0.112,0.134,1
0.792,0.726,0.65,0.214,0.225,0.227,1
0.342,0.466,0.413,0.178,0.236,0.214,1
0.509,0.441,0.373,0.181,0.199,0.198,1
0.244,0.159,0.163,0.205,0.135,0.134,1
0.197,0.304,0.42,0.204,0.169,0.141,1
0.449,0.507,0.534,0.18,0.192,0.222,1
0.641,0.673,0.702,0.2,0.242,0.254,1
0.608,0.542,0.53,0.281,0.293,0.301,1
0.494,0.437,0.39,0.118,0.145,0.149,1
0.584,0.551,0.506,0.096,0.103,0.103,1
0.56,0.525,0.489,0.221,0.234,0.229,1
0.356,0.291,0.225,0.301,0.274,0.225,1
0.589,0.676,0.733,0.139,0.173,0.208,1
0.444,0.378,0.316,0.204,0.156,0.131,1
0.708,0.679,0.662,0.206,0.245,0.274,1
0.535,0.38,0.323,0.18,0.152,0.16,1
0.272,0.254,0.261,0.269,0.225,0.191,1
0.422,0.391,0.424,0.251,0.233,0.256,1
0.166,0.182,0.401,0.257,0.178,0.145,1
0.709,0.667,0.663,0.245,0.261,0.269,1
0.692,0.809,0.848,0.142,0.148,0.144,1
0.548,0.569,0.593,0.151,0.129,0.116,1
0.587,0.473,0.465,0.297,0.309,0.298,1
0.492,0.248,0.102,0.242,0.143,0.069,1
0.646,0.723,0.733,0.169,0.221,0.255,1
0.677,0.585,0.523,0.24,0.239,0.235,1
0.314,0.222,0.112,0.236,0.175,0.142,1
0.515,0.609,0.663,0.169,0.211,0.258,1
0.625,0.57,0.555,0.215,0.222,0.221,1
0.759,0.729,0.66,0.103,0.178,0.223,1
0.593,0.547,0.508,0.228,0.264,0.27,1
0.2,0.17,0.189,0.178,0.145,0.121,1
0.612,0.585,0.582,0.289,0.304,0.31,1
0.564,0.535,0.544,0.184,0.224,0.256,1
0.58,0.587,0.595,0.273,0.274,0.294,1
0.818,0.748,0.726,0.208,0.265,0.278,1
0.924,0.885,0.866,0.134,0.179,0.19,1
0.433,0.441,0.401,0.206,0.253,0.287,1
0.52,0.454,0.401,0.161,0.177,0.197,1
0.265,0.214,0.191,0.26,0.213,0.184,1
0.618,0.588,0.565,0.143,0.212,0.246,1
0.36,0.305,0.257,0.254,0.219,0.214,1
0.524,0.482,0.488,0.282,0.312,0.319,1
0.662,0.765,0.833,0.313,0.249,0.213,1
0.485,0.6,0.709,0.21,0.225,0.259,1
