0.494,0.186,0.063,0.185,0.099,0.044,46.0,168.0,0.0,0.0,0.0,0.0,1
0.471,0.195,0.063,0.189,0.116,0.052,29.0,113.0,24.667,91.667,0.0,0.0,1
0.31,0.195,0.169,0.162,0.125,0.111,64.0,118.0,29.667,4.0,1.5,6.0,1
0.298,0.182,0.148,0.148,0.105,0.089,35.6,78.0,82.0,212.0,85.0,218.0,1
0.721,0.536,0.453,0.21,0.163,0.148,91.5,107.9,1.375,15.5,0.064,5.489,1
0.656,0.493,0.418,0.223,0.173,0.155,61.833,92.667,5.0,18.8,0.154,6.205,1
0.454,0.388,0.396,0.16,0.156,0.165,78.0,93.75,14.857,22.857,14.833,40.0,1
0.486,0.414,0.427,0.19,0.191,0.2,86.714,117.143,0.429,38.429,0.6,53.8,1
0.512,0.349,0.311,0.136,0.128,0.128,36.0,68.0,17.2,50.6,9.2,49.4,1
0.597,0.423,0.381,0.145,0.131,0.129,49.75,90.75,2.615,19.385,8.462,22.538,1
0.464,0.299,0.258,0.156,0.164,0.168,49.0,84.889,14.875,24.0,13.111,21.444,1
0.378,0.185,0.134,0.128,0.08,0.061,61.0,75.533,0.0,0.0,0.0,0.0,1
0.335,0.274,0.263,0.083,0.072,0.064,83.0,106.667,0.0,0.0,0.0,0.0,1
0.408,0.356,0.364,0.092,0.083,0.076,35.25,104.25,46.5,122.5,45.5,122.5,1
0.533,0.432,0.447,0.165,0.135,0.129,36.667,63.167,3.2,16.467,3.429,18.857,1
0.548,0.448,0.466,0.162,0.133,0.125,53.0,182.0,0.667,34.0,5.0,53.0,1
0.527,0.355,0.316,0.184,0.144,0.139,49.667,100.0,8.154,19.385,13.333,28.0,1
0.558,0.391,0.354,0.199,0.162,0.155,60.667,113.667,4.667,16.933,11.556,25.778,1
0.604,0.475,0.444,0.159,0.144,0.138,49.0,115.5,4.636,21.091,2.538,16.615,1
0.721,0.599,0.561,0.165,0.158,0.155,53.75,89.75,9.0,36.5,3.889,17.556,1
0.503,0.381,0.352,0.14,0.128,0.122,53.5,136.0,4.769,17.231,12.778,31.556,1
0.572,0.456,0.423,0.158,0.149,0.142,44.5,123.5,8.75,39.25,3.5,15.7,1
0.391,0.252,0.181,0.162,0.123,0.097,73.458,86.625,13.333,29.0,0.0,0.0,1
0.379,0.237,0.166,0.164,0.122,0.093,75.273,92.318,16.667,42.222,0.0,0.0,1
0.419,0.291,0.24,0.164,0.134,0.116,59.84,72.56,10.5,22.714,3.333,58.667,1
0.453,0.306,0.251,0.18,0.145,0.125,69.778,82.185,6.091,14.5,1.846,17.308,1
0.49,0.362,0.314,0.164,0.137,0.138,61.286,98.0,5.545,25.818,14.25,31.25,1
